epoch,lr,train_loss,val_loss,val_pr_auc,val_f1,val_p,val_r,val_thr,time_sec
1,0.0002,0.08632618587478383,0.1008730166242553,0.6726789062111281,0.6658150225235121,0.5366556836904709,0.876850605652842,0.4,1417.6127128601074
2,0.0002,0.08074749264069261,0.09303983633467061,0.7180361739467088,0.6880709992642724,0.5620469083157518,0.8869448183042483,0.4,1361.5824551582336
3,0.0002,0.07660433422022032,0.11273596929312726,0.6887666151751618,0.6809051609843745,0.5472006538620567,0.9010767160162173,0.4,1347.5925300121307
4,0.0002,0.07486192508632274,0.11136804693250461,0.6711231126270479,0.6744186041822622,0.5400809716601053,0.8977119784657485,0.4,1425.5148136615753
5,0.0002,0.07266725525990317,0.10667415237038508,0.6786603448673998,0.6725006624767439,0.5549234135669344,0.8532974427995603,0.4,1401.256642818451
6,0.0001,0.07019458159807167,0.11642911774404256,0.6427389360087017,0.6714764231297626,0.544050104384324,0.876850605652842,0.35,1355.8858051300049
7,0.0001,0.06830101475883807,0.11314538726621157,0.6786739304670536,0.6773515497080981,0.5556034482760536,0.8674293405115293,0.4,1279.1034352779388
