epoch,lr,train_loss,val_loss,val_pr_auc,val_best_thr,val_f1,val_precision,val_recall,epoch_time_sec
1,0.0002,0.0694854341560241,0.06941286134051866,0.4865297493156803,0.35,0.6276497695852534,0.4772249474421864,0.9165545087483177,1428.0562896728516
2,0.0002,0.0684712562935822,0.06955688276552949,0.48898160065342766,0.35,0.6284763489422391,0.4858507901506799,0.8896366083445492,1390.0762169361115
3,0.0002,0.06807871902305068,0.07043155372656625,0.48775780983072214,0.3,0.625884501255421,0.47357512953367875,0.9226110363391655,1362.8749165534973
4,0.0002,0.06820565231821754,0.07019523563313074,0.5028733713633974,0.35,0.6276010523798135,0.4868274582560297,0.882907133243607,1454.1885769367218
5,0.0002,0.06749707092389916,0.07012835890054703,0.5010272529127655,0.35,0.6269803168506962,0.4873134328358209,0.8788694481830417,1417.456990480423
