kind,var,year,filename,path,ok,error,dtype,height,width,crs,nodata,min_val,max_val,nan_count,inf_count,eq_nodata_count,eq_minus9999_count,total_pixels,suspect_pixels,suspect_pct
data,ndvi16,2019,ndvi16_2019_20190509.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2019/ndvi16_2019_20190509.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9486634135246277,0,0,272064,272064,424080,544128,128.30786644029428
data,ndvi16,2019,ndvi16_2019_20190525.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2019/ndvi16_2019_20190525.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.936411440372467,0,0,267854,267854,424080,535708,126.32239200150914
data,ndvi16,2020,ndvi16_2020_20200101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9560550451278687,0,0,284513,284513,424080,569026,134.17892850405585
data,ndvi16,2020,ndvi16_2020_20200117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9746860861778259,0,0,288246,288246,424080,576492,135.93944538766272
data,ndvi16,2020,ndvi16_2020_20200202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9345888495445251,0,0,284473,284473,424080,568946,134.16006413884173
data,ndvi16,2020,ndvi16_2020_20200218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8981369137763977,0,0,285159,285159,424080,570318,134.48358800226373
data,ndvi16,2020,ndvi16_2020_20200305.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200305.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9041109681129456,0,0,287832,287832,424080,575664,135.74419920769665
data,ndvi16,2020,ndvi16_2020_20200321.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200321.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.879404604434967,0,0,285367,285367,424080,570734,134.5816827013771
data,ndvi16,2020,ndvi16_2020_20200406.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200406.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8984406590461731,0,0,281958,281958,424080,563916,132.97396717600452
data,ndvi16,2020,ndvi16_2020_20200422.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200422.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9333738088607788,0,0,281281,281281,424080,562562,132.65468779475572
data,ndvi16,2020,ndvi16_2020_20200508.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200508.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9386391043663025,0,0,278286,278286,424080,556572,131.24221844934917
data,ndvi16,2020,ndvi16_2020_20200524.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2020/ndvi16_2020_20200524.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.940360426902771,0,0,272726,272726,424080,545452,128.62007168458783
data,ndvi16,2021,ndvi16_2021_20210101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9229444861412048,0,0,267526,267526,424080,535052,126.16770420675344
data,ndvi16,2021,ndvi16_2021_20210117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9226406812667847,0,0,265974,265974,424080,531948,125.43576683644595
data,ndvi16,2021,ndvi16_2021_20210202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8938841223716736,0,0,269051,269051,424080,538102,126.88690813054141
data,ndvi16,2021,ndvi16_2021_20210218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8898338675498962,0,0,267193,267193,424080,534386,126.01065836634598
data,ndvi16,2021,ndvi16_2021_20210306.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210306.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8739367723464966,0,0,269851,269851,424080,539702,127.26419543482362
data,ndvi16,2021,ndvi16_2021_20210322.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210322.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9265896677970886,0,0,267823,267823,424080,535646,126.30777211846821
data,ndvi16,2021,ndvi16_2021_20210407.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210407.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8885176181793213,0,0,268858,268858,424080,537716,126.79588756838332
data,ndvi16,2021,ndvi16_2021_20210423.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210423.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9327662587165833,0,0,280855,280855,424080,561710,132.45378230522542
data,ndvi16,2021,ndvi16_2021_20210509.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210509.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.946435809135437,0,0,274546,274546,424080,549092,129.47840030182985
data,ndvi16,2021,ndvi16_2021_20210525.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2021/ndvi16_2021_20210525.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.97701495885849,0,0,272368,272368,424080,544736,128.45123561592152
data,ndvi16,2022,ndvi16_2022_20220101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9640542268753052,0,0,287321,287321,424080,574642,135.5032069420864
data,ndvi16,2022,ndvi16_2022_20220117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9426892995834351,0,0,285734,285734,424080,571468,134.75476325221658
data,ndvi16,2022,ndvi16_2022_20220202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,1.0,0,0,287637,287637,424080,575274,135.65223542727787
data,ndvi16,2022,ndvi16_2022_20220218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9049209952354431,0,0,284679,284679,424080,569358,134.2572156196944
data,ndvi16,2022,ndvi16_2022_20220306.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220306.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9045159816741943,0,0,281570,281570,424080,563140,132.79098283342765
data,ndvi16,2022,ndvi16_2022_20220322.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220322.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8964155316352844,0,0,274090,274090,424080,548180,129.263346538389
data,ndvi16,2022,ndvi16_2022_20220407.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220407.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.910692572593689,0,0,268843,268843,424080,537686,126.78881343142804
data,ndvi16,2022,ndvi16_2022_20220423.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220423.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9080598950386047,0,0,267128,267128,424080,534256,125.98000377287305
data,ndvi16,2022,ndvi16_2022_20220509.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220509.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.952916145324707,0,0,265412,265412,424080,530824,125.1707225051877
