feature,file,nodata,count,min,max,mean,std,p01,p05,p50,p95,p99
ndvi16,data_processed_normalized/ndvi16/2018/ndvi16_2018_20180101.tif,-9999.0,159142,0.0,0.9402592182159424,0.5150923776263452,0.22620122422063524,0.015593357384204865,0.0684487596154213,0.5687525272369385,0.8073105812072754,0.85297691822052
temp16,data_processed_normalized/temp16/2018/temp16_2018_20180101.tif,-9999.0,168064,0.10263588279485703,0.7056524157524109,0.5191098655144359,0.15724377568899536,0.1495332270860672,0.19690708816051483,0.5857309103012085,0.6865603923797607,0.6999868154525757
precip16,data_processed_normalized/precip16/2018/precip16_2018_20180101.tif,-9999.0,168064,0.0010527322301641107,0.7426543831825256,0.21086621721247287,0.1357689074599081,0.011274120770394802,0.026796475052833557,0.19412200152873993,0.47341859340667725,0.6116666793823242
rh16,data_processed_normalized/rh16/2018/rh16_2018_20180101.tif,-9999.0,168064,0.05549997463822365,0.8207706809043884,0.5806876498984966,0.19416620274341698,0.15425392985343933,0.21425099670886993,0.6717963218688965,0.7908340692520142,0.8057248592376709
