feature,scope,years,n_files,crs,height,width,count,min,max,mean,std,p01,p05,p50,p95,p99
ndvi16,train_years,"2018,2019,2020,2021,2022",50,EPSG:4326,465,912,7382462,0.0,0.9876000285148621,0.5058258938894863,0.20084830049563313,0.00839999970048666,0.065700002014637,0.5285999774932861,0.7570000290870667,0.8094000220298767
temp16,train_years,"2018,2019,2020,2021,2022",50,EPSG:4326,465,912,8403200,-26.252214431762695,32.92648696899414,9.954118631757433,12.492739284504765,-18.78786849975586,-14.116214752197266,11.717467308044434,26.676097869873047,29.60812759399414
precip16,train_years,"2018,2019,2020,2021,2022",50,EPSG:4326,465,912,8403200,0.007691801525652409,6.582995891571045,3.1635148357236442,1.2427264202636732,0.22445045411586761,0.7364889979362488,3.0731167793273926,4.8713555335998535,5.458349704742432
rh16,train_years,"2018,2019,2020,2021,2022",50,EPSG:4326,465,912,8403200,0.16675923764705658,0.975849449634552,0.6511812859387223,0.12620854324856393,0.33331355452537537,0.43022358417510986,0.6444255113601685,0.8182487487792969,0.8617752194404602
vpd16,train_years,"2018,2019,2020,2021,2022",50,EPSG:4326,465,912,8403200,0.019927138462662697,3.482628583908081,0.585631520057654,0.5401900471649698,0.04615796357393265,0.07770932465791702,0.40876585245132446,1.6733018159866333,2.1374094486236572
elevation,static,static,1,EPSG:4326,465,912,168064,62.0,8364.0,2114.8649383568163,1756.6272696188423,78.0,104.0,1586.0,5336.0,5942.0
slope,static,static,1,EPSG:4326,465,912,168056,0.0,71.93864440917969,11.3368427112492,8.566346959472316,0.04356129467487335,0.11399823799729347,10.663527965545654,26.702738285064697,33.52206573486331
